Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,CPU,Memory,Cache Hits,Cache Misses,Cache Size,Cache Hits/s,Cache Misses/s,Cache Requests/s,Cache Hit Ratio,Cache Avg Latency
0,1786552237,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,2026-08-12 16:30:37,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1786552238,2,,Aggregated,0.0,0.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,2,0,461.886752047576,466.1327014910057,461.886752047576,470.3786509344354,829.0,2026-08-12 16:30:38,0.0,15.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,302.0
2,1786552239,4,,Aggregated,0.0,0.0,750.0,750.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,6,0,470.0,613.7144738265002,250.8024700218812,875.4632319323719,828.1666666666666,2026-08-12 16:30:40,0.0,15.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,372.0
3,1786552240,6,,Aggregated,2.0,0.0,750.0,750.0,870.0,870.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,12,0,470.0,543.0397024805037,53.0037849675864,875.4632319323719,690.75,2026-08-12 16:30:41,0.0,15.0,0.0,10.0,0.0,0.0,4.0,4.0,0.0,418.0
4,1786552241,8,,Aggregated,2.0,0.0,470.0,750.0,860.0,870.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,15,0,470.0,525.6787148537114,53.0037849675864,875.4632319323719,718.4,2026-08-12 16:30:42,0.0,15.0,0.0,18.0,0.0,0.0,8.0,8.0,0.0,474.0
5,1786552242,10,,Aggregated,3.333333,0.0,750.0,860.0,880.0,880.0,1300.0,1400.0,1600.0,1600.0,1600.0,1600.0,1600.0,21,0,750.0,667.8000937903389,51.53427994810045,1564.9177259765563,710.3809523809524,2026-08-12 16:30:43,0.0,15.0,0.0,25.0,0.0,0.0,7.0,7.0,0.0,601.0
6,1786552243,10,,Aggregated,3.75,0.0,780.0,880.0,980.0,1400.0,1700.0,2100.0,2900.0,2900.0,2900.0,2900.0,2900.0,25,0,780.0,866.1652506235987,51.53427994810045,2881.910311989486,729.44,2026-08-12 16:30:44,0.0,15.0,0.0,31.0,0.0,0.0,6.0,6.0,0.0,731.0
7,1786552244,10,,Aggregated,3.75,0.0,870.0,980.0,1600.0,1600.0,1700.0,2100.0,2900.0,2900.0,2900.0,2900.0,2900.0,28,0,860.0,953.0657076642716,51.53427994810045,2881.910311989486,740.1428571428571,2026-08-12 16:30:45,0.0,15.0,0.0,35.0,0.0,0.0,4.0,4.0,0.0,900.0
8,1786552245,10,,Aggregated,4.0,0.0,980.0,1700.0,1700.0,1800.0,2600.0,2900.0,3900.0,3900.0,3900.0,3900.0,3900.0,40,0,880.0,1187.2000984556507,43.24043693486601,3927.334441919811,705.35,2026-08-12 16:30:46,0.0,15.0,0.0,39.0,0.0,0.0,4.0,4.0,0.0,1040.0
9,1786552246,10,,Aggregated,4.0,0.0,980.0,1600.0,1700.0,1700.0,2500.0,2900.0,3900.0,3900.0,3900.0,3900.0,3900.0,44,0,880.0,1163.8080275495834,41.97922896128148,3927.334441919811,697.8409090909091,2026-08-12 16:30:47,0.0,15.0,0.0,44.0,0.0,0.0,5.0,5.0,0.0,1139.0
10,1786552247,10,,Aggregated,4.0,0.0,980.0,1600.0,1700.0,1700.0,2500.0,2900.0,3900.0,3900.0,3900.0,3900.0,3900.0,47,0,980.0,1187.3402031946016,41.97922896128148,3927.334441919811,706.2553191489362,2026-08-12 16:30:48,0.0,15.0,0.0,49.0,0.0,0.0,5.0,5.0,0.0,1143.0
